TDV,q1_CDV,q2_CDV,q3_CDV,q4_CDV,q5_CDV,q6_CDV,q7_CDV
0,0,,,,,,
5,5,,,,,,
10,9,,,,,,
15,15,,,,,,
20,20,14.6,10.4,,,,
25,25,18.6,14,,,,
30,30,22.6,17.7,12.9,10.5,,
35,35,26.4,21.3,16.5,14,,
40,40,30.2,24.9,20,17.3,,
45,45,34.1,28.5,23.6,20.6,18,18
50,50,37.9,32.1,27.1,23.7,21,21
55,55,41.6,35.7,30.5,26.9,24,24
60,60,45,39.1,33.9,30,26.9,26.9
65,65,48.5,42.3,37.1,33.1,29.8,29.8
70,70,52,45.5,40.3,36.2,32.7,32.7
75,75,55.4,48.7,43.5,39.2,35.6,35.6
80,80,58.7,51.9,46.7,42,38.5,38.5
85,85,62,55.2,49.6,44.8,41.4,41.4
90,90,65.3,58.4,52.4,47.6,44.2,44.2
95,95,68.3,61.2,55.3,50.4,46.9,46.9
100,100,71.2,64,58.2,53.1,49.6,49.6
105,,74,66.6,61.1,55.8,52.2,52.2
110,,76.7,69.2,63.8,58.5,54.8,54.8
115,,79.3,71.9,66.5,61,57.3,57.3
120,,81.9,74.5,69.3,63.5,59.8,59.8
125,,84.4,77.2,72,66.1,62.2,62.2
130,,86.8,79.6,74.6,68.6,64.4,64.4
135,,89.2,82.1,77.3,71.1,66.5,66.5
140,,91.3,84.5,79.7,73.5,69.1,69.1
145,,93.4,86.9,81.9,75.8,71.7,70.6
150,,95.5,89.4,84.1,78.1,74,72.6
155,,97.1,91.5,86.3,80.3,76.3,75
160,,98.6,93.6,88.2,82.3,78.3,75.8
165,,100,95.6,90,84.2,80.4,77.8
170,,,97.4,91.6,86.1,82.3,80.5
175,,,99.1,93,87.9,84,81.9
180,,,99.9,94.4,89.5,85.8,83.2
185,,,,95.8,91.2,87.5,86.4
190,,,,97.2,92.5,89,82.7
195,,,,98.5,93.7,90.3,90.3
200,,,,,,,
